Weight,JP,KR,TH,PH,SG,AU,NZ,VN,IN,PK,CA,MX,FR,BE,IE,LU,MC,NL,US,GB,DE,AT,IL,KW,AE,TN,AO,PA,PR,MX,BR,RU,UA
0.5,$15.1,$16.5,$16.5,$16.5,$16.5,$20.1,$20.1,$19.4,$32.8,$26.2,$24.6,$25.2,$18.2,$18.2,$18.2,$18.2,$18.2,$18.2,$19.3,$18.2,$18.2,$18.2,$30.8,$26.2,$26.2,$28.6,$45.9,$27.8,$27.8,$27.8,$23.7,$30.8,$30.8
1,$17.0,$18.7,$19.5,$19.5,$19.5,$25.4,$25.4,$24.4,$39.4,$30.6,$27.0,$28.7,$20.2,$20.2,$20.2,$20.2,$20.2,$20.2,$21.3,$20.2,$20.2,$20.2,$36.2,$30.6,$30.6,$33.7,$56.9,$32.5,$34.2,$34.2,$27.8,$36.2,$36.2
1.5,$18.9,$21.5,$21.5,$21.5,$21.5,$30.6,$30.6,$29.4,$46.1,$35.0,$29.3,$32.1,$24.4,$24.4,$24.4,$24.4,$24.4,$24.4,$24.5,$24.4,$24.4,$24.4,$41.6,$35.0,$35.0,$38.9,$68.1,$37.2,$40.6,$40.6,$32.0,$41.6,$41.6
2,$22.4,$25.8,$25.8,$25.8,$25.8,$35.1,$35.1,$35.8,$54.2,$40.9,$33.2,$33.8,$26.7,$26.7,$26.7,$26.7,$26.7,$26.7,$26.6,$26.7,$26.7,$26.7,$48.5,$40.9,$40.9,$45.5,$80.7,$43.4,$48.5,$48.5,$37.7,$48.5,$48.5
2.5,$25.2,$29.3,$29.3,$29.3,$29.3,$38.8,$38.8,$41.6,$61.6,$46.2,$36.4,$36.9,$28.1,$28.1,$28.1,$28.1,$28.1,$28.1,$30.1,$28.1,$28.1,$28.1,$54.7,$46.2,$46.2,$51.4,$92.6,$48.9,$55.7,$55.7,$42.6,$54.7,$54.7
3,$27.1,$32.1,$32.1,$32.1,$32.1,$42.8,$42.8,$46.6,$68.3,$50.6,$38.7,$40.9,$31.0,$31.0,$31.0,$31.0,$31.0,$31.0,$32.0,$31.0,$31.0,$31.0,$60.1,$50.6,$50.6,$56.5,$103.5,$53.6,$62.1,$62.1,$46.7,$60.1,$60.1
3.5,$29.8,$35.6,$35.6,$35.6,$35.6,$47.5,$47.5,$52.3,$75.1,$55.7,$41.8,$45.5,$34.4,$34.4,$34.4,$34.4,$34.4,$34.4,$36.4,$34.4,$34.4,$34.4,$66.2,$55.7,$55.7,$62.4,$115.2,$59.0,$69.1,$69.1,$51.6,$66.2,$66.2
4,$32.5,$39.1,$39.1,$39.1,$39.1,$52.3,$52.3,$58.0,$81.9,$60.9,$45.0,$50.3,$37.8,$37.8,$37.8,$37.8,$37.8,$37.8,$39.4,$37.8,$37.8,$37.8,$72.4,$60.9,$60.9,$68.3,$126.9,$64.4,$76.1,$76.1,$56.6,$72.4,$72.4
4.5,$34.5,$41.9,$41.9,$41.9,$41.9,$56.3,$56.3,$63.0,$88.0,$65.3,$47.4,$54.2,$40.5,$40.5,$40.5,$40.5,$40.5,$40.5,$41.4,$40.5,$40.5,$40.5,$77.8,$65.3,$65.3,$73.4,$137.9,$69.1,$82.4,$82.4,$60.7,$77.8,$77.8
5,$36.4,$44.6,$44.6,$44.6,$44.6,$60.3,$60.3,$68.0,$94.1,$69.7,$49.9,$58.2,$43.1,$43.1,$43.1,$43.1,$43.1,$43.1,$43.5,$43.1,$43.1,$43.1,$83.2,$69.7,$69.7,$78.5,$148.9,$73.8,$88.6,$88.6,$64.9,$83.2,$83.2
5.5,$42.1,$51.2,$51.2,$51.2,$51.2,$67.1,$67.1,$76.7,$104.5,$77.6,$56.0,$64.7,$57.2,$57.2,$57.2,$57.2,$57.2,$57.2,$61.1,$57.2,$57.2,$57.2,$91.8,$77.6,$77.6,$87.0,$160.4,$82.3,$98.6,$98.6,$72.8,$91.8,$91.8
6,$44.1,$53.9,$53.9,$53.9,$53.9,$70.2,$70.2,$81.7,$111.1,$81.7,$58.4,$67.4,$59.7,$59.7,$59.7,$59.7,$59.7,$59.7,$63.6,$59.7,$59.7,$59.7,$96.6,$81.7,$81.7,$91.7,$168.3,$87.0,$104.9,$104.9,$76.9,$96.6,$96.6
6.5,$46.0,$56.7,$56.7,$56.7,$56.7,$73.4,$73.4,$86.6,$117.7,$85.8,$60.8,$70.2,$62.1,$62.1,$62.1,$62.1,$62.1,$62.1,$66.2,$62.1,$62.1,$62.1,$101.5,$85.8,$86.4,$96.4,$176.1,$91.6,$111.2,$111.2,$81.1,$101.5,$101.5
7,$47.9,$59.4,$59.4,$59.4,$59.4,$76.5,$76.5,$91.6,$124.4,$89.9,$63.3,$72.9,$64.6,$64.6,$64.6,$64.6,$64.6,$64.6,$68.7,$64.6,$64.6,$64.6,$106.3,$89.9,$90.6,$101.0,$183.9,$96.3,$117.4,$117.4,$85.2,$106.3,$106.3
7.5,$49.9,$62.2,$62.2,$62.2,$62.2,$79.6,$79.6,$96.6,$131.0,$94.1,$65.7,$75.7,$67.1,$67.1,$67.1,$67.1,$67.1,$67.1,$71.2,$67.1,$67.1,$67.1,$111.1,$94.1,$94.8,$105.7,$191.7,$101.0,$123.7,$123.7,$89.4,$111.1,$111.1
8,$51.8,$65.0,$65.0,$65.0,$65.0,$82.7,$82.7,$101.6,$137.6,$93.4,$68.1,$78.5,$69.6,$69.6,$69.6,$69.6,$69.6,$69.6,$73.8,$69.6,$69.6,$69.6,$116.0,$98.2,$94.2,$110.4,$199.5,$105.7,$129.9,$129.9,$93.5,$116.0,$116.0
8.5,$53.8,$67.7,$67.7,$67.7,$67.7,$85.8,$85.8,$106.5,$144.2,$97.3,$70.5,$81.2,$72.0,$72.0,$72.0,$72.0,$72.0,$72.0,$76.3,$72.0,$72.0,$72.0,$120.8,$102.3,$98.1,$115.1,$207.4,$110.4,$136.2,$136.2,$97.7,$120.8,$120.8
9,$55.7,$70.5,$70.5,$70.5,$70.5,$88.9,$88.9,$111.5,$150.9,$101.2,$72.9,$83.9,$74.5,$74.5,$74.5,$74.5,$74.5,$74.5,$78.9,$74.5,$74.5,$74.5,$125.6,$106.4,$102.0,$119.8,$215.2,$115.1,$142.4,$142.4,$101.8,$125.6,$125.6
9.5,$57.7,$73.3,$73.3,$73.3,$73.3,$92.0,$92.0,$116.5,$157.5,$105.0,$75.3,$86.7,$77.0,$77.0,$77.0,$77.0,$77.0,$77.0,$81.4,$77.0,$77.0,$77.0,$130.5,$110.5,$105.9,$124.5,$223.0,$119.8,$148.7,$148.7,$106.0,$130.5,$130.5
10,$60.9,$77.3,$77.3,$77.3,$77.3,$96.4,$96.4,$122.7,$165.4,$110.2,$79.0,$90.7,$79.5,$79.5,$79.5,$79.5,$79.5,$79.5,$83.9,$79.5,$79.5,$79.5,$138.9,$118.3,$113.5,$132.8,$234.5,$128.1,$158.6,$158.6,$113.8,$138.9,$138.9
10.5,$68.1,$85.0,$85.0,$85.0,$85.0,$104.1,$104.1,$132.4,$177.1,$118.6,$86.5,$98.2,$98.7,$98.7,$98.7,$98.7,$98.7,$98.7,$100.7,$98.7,$98.7,$98.7,$145.9,$124.6,$119.6,$140.2,$245.0,$135.5,$167.6,$167.6,$119.5,$145.9,$145.9
11,$74.0,$91.4,$91.4,$91.4,$91.4,$110.5,$110.5,$140.7,$187.5,$125.7,$92.7,$104.4,$105.6,$105.6,$105.6,$105.6,$105.6,$105.6,$107.3,$105.6,$105.6,$105.6,$154.0,$131.9,$126.7,$148.7,$256.6,$144.0,$177.6,$177.6,$123.3,$154.0,$154.0
11.5,$76.2,$94.0,$94.0,$94.0,$94.0,$113.1,$113.1,$145.3,$194.2,$129.0,$95.1,$106.8,$108.6,$108.6,$108.6,$108.6,$108.6,$108.6,$110.2,$108.6,$108.6,$108.6,$158.3,$135.5,$130.1,$153.4,$264.5,$148.7,$183.9,$183.9,$132.4,$158.3,$158.3
12,$78.3,$96.7,$96.7,$96.7,$96.7,$115.7,$115.7,$149.8,$200.8,$132.3,$97.5,$109.2,$111.6,$111.6,$111.6,$111.6,$111.6,$111.6,$113.0,$111.6,$111.6,$111.6,$162.5,$139.0,$133.5,$158.1,$272.3,$153.4,$190.1,$190.1,$132.4,$162.5,$162.5
12.5,$80.4,$99.3,$99.3,$99.3,$99.3,$118.3,$118.3,$154.4,$207.4,$135.6,$100.0,$111.6,$114.6,$114.6,$114.6,$114.6,$114.6,$114.6,$115.7,$114.6,$114.6,$114.6,$166.8,$142.6,$136.8,$162.8,$280.1,$158.1,$196.4,$196.4,$141.4,$166.8,$166.8
13,$82.5,$101.9,$101.9,$101.9,$101.9,$120.9,$120.9,$159.0,$214.1,$138.9,$102.4,$114.0,$117.6,$117.6,$117.6,$117.6,$117.6,$117.6,$118.5,$117.6,$117.6,$117.6,$171.1,$146.1,$140.2,$167.5,$287.9,$162.8,$202.7,$202.7,$141.5,$171.1,$171.1
13.5,$84.7,$104.5,$104.5,$104.5,$104.5,$123.5,$123.5,$163.5,$220.7,$142.2,$104.8,$116.4,$120.6,$120.6,$120.6,$120.6,$120.6,$120.6,$121.4,$120.6,$120.6,$120.6,$175.3,$149.7,$143.6,$172.2,$295.8,$167.5,$208.9,$208.9,$150.5,$175.3,$175.3
14,$86.8,$107.2,$107.2,$107.2,$107.2,$126.1,$126.1,$168.1,$227.3,$145.6,$107.2,$118.9,$123.6,$123.6,$123.6,$123.6,$123.6,$123.6,$124.2,$123.6,$123.6,$123.6,$179.6,$153.2,$146.9,$176.9,$303.6,$172.2,$215.2,$215.2,$150.5,$179.6,$179.6
14.5,$88.9,$109.8,$109.8,$109.8,$109.8,$128.6,$128.6,$172.6,$233.9,$148.9,$109.6,$121.3,$126.6,$126.6,$126.6,$126.6,$126.6,$126.6,$127.0,$126.6,$126.6,$126.6,$183.9,$156.8,$150.3,$181.6,$311.4,$176.9,$221.4,$221.4,$159.6,$183.9,$183.9
15,$91.0,$112.4,$112.4,$112.4,$112.4,$131.3,$131.3,$177.2,$240.6,$152.2,$112.0,$123.7,$129.6,$129.6,$129.6,$129.6,$129.6,$129.6,$129.8,$129.6,$129.6,$129.6,$188.1,$160.3,$153.7,$186.3,$319.2,$181.6,$227.7,$227.7,$159.6,$188.1,$188.1
15.5,$93.2,$115.0,$115.0,$115.0,$115.0,$133.9,$133.9,$181.7,$247.2,$155.5,$114.4,$126.1,$129.1,$129.1,$129.1,$129.1,$129.1,$129.1,$129.0,$129.1,$129.1,$129.1,$192.4,$163.9,$157.0,$191.0,$327.1,$186.3,$234.0,$234.0,$168.6,$192.4,$192.4
16,$95.3,$117.7,$117.7,$117.7,$117.7,$136.4,$136.4,$186.3,$253.8,$158.8,$116.9,$128.5,$132.1,$132.1,$132.1,$132.1,$132.1,$132.1,$131.8,$132.1,$132.1,$132.1,$196.6,$167.5,$160.4,$195.6,$334.9,$191.0,$240.2,$240.2,$168.7,$196.6,$196.6
16.5,$97.4,$120.3,$120.3,$120.3,$120.3,$139.0,$139.0,$190.9,$260.5,$162.1,$119.3,$130.9,$135.1,$135.1,$135.1,$135.1,$135.1,$135.1,$134.6,$135.1,$135.1,$135.1,$200.9,$171.0,$163.7,$200.3,$342.7,$195.6,$246.5,$246.5,$177.7,$200.9,$200.9
17,$99.5,$122.9,$122.9,$122.9,$122.9,$141.6,$141.6,$195.4,$267.1,$165.4,$121.7,$133.3,$138.1,$138.1,$138.1,$138.1,$138.1,$138.1,$137.4,$138.1,$138.1,$138.1,$205.2,$174.6,$167.1,$205.0,$350.5,$200.3,$252.7,$252.7,$177.7,$205.2,$205.2
17.5,$101.7,$125.5,$125.5,$125.5,$125.5,$144.2,$144.2,$200.0,$273.7,$168.8,$124.1,$135.7,$141.2,$141.2,$141.2,$141.2,$141.2,$141.2,$140.2,$141.2,$141.2,$141.2,$209.4,$178.1,$170.5,$209.7,$358.4,$205.0,$259.0,$259.0,$186.8,$209.4,$209.4
18,$103.8,$128.2,$128.2,$128.2,$128.2,$146.8,$146.8,$204.5,$280.3,$172.1,$126.5,$138.1,$144.2,$144.2,$144.2,$144.2,$144.2,$144.2,$143.0,$144.2,$144.2,$144.2,$213.7,$181.7,$173.9,$214.4,$366.2,$209.7,$265.2,$265.2,$186.8,$213.7,$213.7
18.5,$105.9,$130.8,$130.8,$130.8,$130.8,$149.4,$149.4,$209.1,$287.0,$175.4,$128.9,$140.5,$147.2,$147.2,$147.2,$147.2,$147.2,$147.2,$145.8,$147.2,$147.2,$147.2,$218.0,$185.2,$177.2,$219.1,$374.0,$214.4,$271.5,$271.5,$195.8,$218.0,$218.0
19,$108.0,$133.4,$133.4,$133.4,$133.4,$152.0,$152.0,$213.6,$293.6,$178.7,$131.3,$142.9,$150.2,$150.2,$150.2,$150.2,$150.2,$150.2,$148.6,$150.2,$150.2,$150.2,$222.2,$188.8,$180.6,$223.8,$381.8,$219.1,$277.7,$277.7,$195.9,$222.2,$222.2
19.5,$110.2,$136.0,$136.0,$136.0,$136.0,$154.6,$154.6,$218.2,$300.2,$182.0,$167.8,$145.3,$153.2,$153.2,$153.2,$153.2,$153.2,$153.2,$151.4,$153.2,$153.2,$153.2,$226.5,$192.3,$184.0,$228.5,$389.6,$223.8,$284.0,$284.0,$204.9,$226.5,$226.5
20,$112.3,$138.6,$138.6,$138.6,$138.6,$157.2,$157.2,$222.7,$306.9,$185.3,$171.5,$147.7,$156.2,$156.2,$156.2,$156.2,$156.2,$156.2,$154.2,$156.2,$156.2,$156.2,$230.7,$195.9,$187.3,$233.2,$397.5,$228.5,$290.3,$290.3,$204.9,$230.7,$230.7
20.5,$114.6,$141.5,$141.5,$141.5,$141.5,$160.0,$160.0,$227.5,$313.7,$188.8,$175.4,$150.3,$159.4,$159.4,$159.4,$159.4,$159.4,$159.4,$157.2,$159.4,$159.4,$159.4,$235.2,$199.6,$190.9,$238.1,$405.5,$233.4,$296.7,$296.7,$205.2,$235.2,$235.2
